Id,Address,Sold Price,Summary,Type,Year built,Heating,Cooling,Parking,Lot,Bedrooms,Bathrooms,Full bathrooms,Total interior livable area,Total spaces,Garage spaces,Region,Elementary School,Elementary School Score,Elementary School Distance,Middle School,Middle School Score,Middle School Distance,High School,High School Score,High School Distance,Flooring,Heating features,Cooling features,Appliances included,Laundry features,Parking features,Tax assessed value,Annual tax amount,Listed On,Listed Price,Last Sold On,Last Sold Price,City,Zip,State,,,,,,,,,,,
128,2450 Ross Rd,2960000,"Amazing opportunity in a gorgeous and desired neighborhood in Palo Alto! Come and see this charming 4 bedroom 2.5 bathroom family home. Situated in the heart of Midtown, and one of the top school districts in the California, this home is perfect for families looking for an extra room or those buying their first house This wonderful home features a great layout and room concept, over-sized bedrooms, vaulted ceilings, and a covered side yard patio. With a large living/dining area this home is perfect for entertaining as well as hosting family gatherings. You'll also enjoy countless summer evenings BBQing in the large back patio area. This amazing home is also within walking distance of many stores, coffee shops, restaurants, local parks, and an ice skating rink! With easy freeway access, you are a stones throw from everything the Bay Area has to offer including big cities, airports, theme parks, professional sporting events and much more. Don't miss out on making this home yours today!",SingleFamily,1948,Radiant Floor,Ceiling Fan(s),"Garage, Garage - Attached, Covered",7501,4,3,2,2494,1,1,Palo Alto,El Carmelo Elementary School,8,0.8,Jane Lathrop Stanford Middle School,9,1.2,Palo Alto High School,9,1.7,"Wood, Carpet, Tile, Linoleum/Vinyl","Radiant, Electric, Gas",None,"Dishwasher, Garbage disposal, Range / Oven, Trash compactor","Gas Hook-up, Sink, cabinets, Inside Room","Garage, Garage - Attached, Covered",626813,8252,10/27/2019,2800000,,,Palo Alto,94303,CA,,,,,,,,,,,
129,90 Brodin Ln,729000,"Located @ the center of the Corralitos Wine Trail, in the very heart of wonderful Corralitos village,1 block to the Market, Aldridge Park & Cultural Center this 3 bedroom, 2 bath, on a spacious 7,667 sq ft parcel is the answer to all your needs! The floorplan has  2 ample bedrooms/1 bath on 1 side of living area & an ADA 1 bedroom & bath on other! Great layout for extended family, teenagers, home office or perhaps extra income to assist in paying the mortgage! This home is nestled @ the end of Brodin Lane a 2 block long street w/no through traffic- truly a sunny, peaceful & serene neighborhood! Upgrades in the recent past include dual pane vinyl windows; granite counters in kitchen & bath and a terrific gas fireplace. Other features include: new carpet; well groomed private backyard w/ storage sheds; paved dog kennel; laundry/mud room & located w/in the boundaries of Bradley School, Aptos Jr. & Aptos High School, Corralitos at it's finest- 1st time on the market don't miss this gem!",SingleFamily,1967,"Gas, Fireplace",Other,0 spaces,7666,More than One Bedroom on Ground Floor,2,2,1300,0,0,Watsonville,Bradley Elementary School,4,0.8,,,,Aptos High School,7,3.3,"Carpet, Vinyl / Linoleum","Wall, Gas",Other,"Dishwasher, Range / Oven","Tub / Sink, Inside, In Utility Room",,186080,2430,9/17/2019,749000,,,Watsonville,95076,CA,,,,,,,,,,,
130,401 Oak Ct,3500000,"This quintessential Cape Cod style home is located on a tranquil, 16,200+/- sq ft, cul-de-sac lot. Just inside the formal entry, discover the generously proportioned living room & dining room. The fluid floor plan effortlessly flows to a bright, gourmet kitchen & comfortable family room, the perfect destination for everyday living. A main level 4th bedroom, with adjacent bath, is as an ideal guest room or home office. The upper level includes two charming children's rooms sharing a spacious hall bath w/ double sinks. The master suite is a true retreat with a lavish bath, walk-in closet & private balcony overlooking the rear grounds. The backyard presents the ultimate destination for outdoor entertaining & play with a large brick patio, lush lawn & mature trees. Nestled in the perfect Willows location for a stroll to nearby Cafe Zoe, the property enjoys convenient proximity to Palo Alto, commuter routes, Stanford & leading tech campuses including Facebook. Top Menlo Park schools.",SingleFamily,1941,Central Forced Air - Gas,Ceiling Fan,"Garage, Garage - Attached",16117.2,"Ground Floor Bedroom, Master Suite / Retreat, Walk-in Closet",3,3,3010,0,0,Menlo Park,Laurel Elementary School,8,0.1,Hillview Middle School,8,3.1,Menlo-Atherton High School,7,1.7,"Tile, Hardwood, Carpet","Forced air, Gas",None,"Dishwasher, Garbage disposal, Microwave, Refrigerator","Upper Floor, Inside","Garage, Garage - Attached",930312,12119,10/21/2019,3195000,8/6/1996,625000,Menlo Park,94025,CA,,,,,,,,,,,
131,654 N Virgil Ave APT 305,805000,"The creative wave lifting Los Angeles' Virgil Village is alive and well in local builder 4Site's 24 unit condo project Cha Cha Cha.  Paying homage to the beloved Caribbean restaurant (The Cha Cha Cha) the development replaced with it's pristine white lines, turquoise accents and tropical murals which grace the modern industrial structure. This 3 bedroom, 3 bath has views of Griffith Park Observatory, the Hollywood sign and everything exciting in Virgil Village. Seconds to Sqirl, Melody, Jewel and Roam to name just a few.  Clean lines and functionality are at every turn in this carefully designed 3 leveled gem. Modern amenities abound with stainless steel appliances and washer and dryer in each unit. Not to mention a gym, 2 car parking, storage unit and wifi. Welcome to your new home in this urban oasis!",Condo,2019,Central,Central,Covered,,3,3,3,1310,2,2,Los Angeles,Dayton Heights Elementary School,6,0.1,Thomas Starr King Middle School,6,0.9,John Marshall Senior High School,8,1.7,Cement,Forced air,Central,"Dishwasher, Dryer, Garbage disposal, Refrigerator, Washer",In Unit,Covered,,,11/7/2019,805000,,,Los Angeles,90004,CA,,,,,,,,,,,
132,741 Harte St,1100000,"Tucked in the back of Montara, this charming single story home is situated on a large lot and is in excellent condition.   The kitchen features granite counter tops, maple cabinets, recessed lighting, and newer appliances.  All bedrooms are spacious in size and the Master Suite has his and her closets, recessed lighting, heated tile flooring in the bathroom, and granite counter tops.  The over-sized living room has open beam ceilings with skylights, a wood burning fireplace, and has access to a large backyard. Other amenities include a separate dining room, and a family room off the kitchen with a wet-bar and built in china hutch.  Extra storage can be found in the finished off attic space with a pull down ladder.  The exterior features redwood siding that has been recently painted and an impressive backyard with a large deck and ample patio area for play and entertaining.  Must see inside to appreciate - sellers are offering a 5,000 landscaping credit for front yard!",SingleFamily,1976,"Electric, Fireplace",None,"Garage, Garage - Attached",6250,3,2,2,1800,0,0,Montara,Farallone View Elementary School,4,0.3,,,,Half Moon Bay High School,6,6.4,"Tile, Carpet, Laminate","Forced air, Electric",None,"Refrigerator, Washer",In Garage,"Garage, Garage - Attached",135151,2797,11/3/2019,1125000,,,Montara,94037,CA,,,,,,,,,,,
133,1175 Stanley Way,3888000,"Move right into this high-quality 5-bedroom, 3-bath split-level home in North Palo Alto's desirable Green Gables neighborhood. The main level includes a culinary kitchen with quartz countertops, a sunny breakfast nook and a spacious family room along with three bedrooms and two full bathrooms. Upstairs has a spacious master suite and an additional bedroom. The verdant backyard has mature foliage, fruit trees, a level lawn, and a stone-paved patio. Ideal location with outstanding Palo Alto schools: minutes to Rinconada and Eleanor Pardee Park, Edgewood Plaza and close to Duveneck Elementary.",SingleFamily,1950,Central Forced Air,None,"Garage, Garage - Attached, Covered",8080,"Ground Floor Bedroom, More than One Bedroom on Ground Floor",3,3,2723,2,2,Palo Alto,Duveneck Elementary School,8,0.3,Frank S. Greene Jr. Middle,7,0.5,Palo Alto High School,9,1.4,"Tile, Hardwood, Carpet",Forced air,None,"Dishwasher, Dryer, Garbage disposal, Microwave, Refrigerator, Washer","In Garage, Washer / Dryer","Garage, Garage - Attached, Covered",2436650,29639,10/17/2019,4295000,3/27/2006,1950000,Palo Alto,94303,CA,,,,,,,,,,,
134,708 Riverside Ave,1325000,"Kahale Court is a 4-plex on a 7400 SF parcel 3 blocks from downtown Santa Cruz.  The building offers (2) 1BR/1BA units and (2) 2BR/1BA units, each unit individually metered for gas and electric completed in 2019.  This project alone will save a buyer $12,000 per year.  Additional recent improvements include new siding, exterior paint, exterior doors and trim, new gutter and low-maintenance landscaping. Smart laundry machines allow the tenants the freedom of paying from an application on their phone or using coins. The spacious unit interiors feature a combination of wood grain vinyl laminate flooring, tile, or carpeting, custom two-toned interior paint, window blinds and large windows for natural lighting.",MultiFamily,1925,Wall Furnace,None,Off-street,,,0,,2980,0,0,Santa Cruz,Gault Elementary School,3,0.9,Mission Hill Middle School,6,1,Harbor High School,7,1.9,,Gas,None,Refrigerator,,Off-street,,,10/15/2019,1395000,,,Santa Cruz,95060,CA,,,,,,,,,,,
135,631 Ofarrell St APT 816,560000,"Sophisticated rare corner view home at full-service Hamilton bldg. Glamorous bright condo w/ alcove bed area, living-dining. Entertain in high style w/ gorgeous renovated kitchen: quartz counters, Bosch & Fisher Paykel stainless steel appliances, high quality cabinetry. Gaze at panoramic views to SF Bay, southern vistas, Sutro Tower, lovely city lights at night & amazing sunsets. Beautiful dark wood floors throughout, classic Art Deco archways, newer lighting. Bathroom has Italian marble tile, stylish flooring & is connected by a spacious walk-in closet customized by CA Closets. This unit has 2 sides of large windows that draw light throughout the day. The Hamilton's captivating lobby, award-winning chandeliers, grand piano, fireplace are treasured by residents. Amenities: 24-hr concierge, newly renovated fitness ctr, roof patio, community lounge w/ fountain patio, onsite mgr. Discover this fabulous condo in a distinctive building walkable to Union Square, Civic Center, downtown.",Condo,1930,Steam,,None,,0,1,1,,0,0,San Francisco,,,,Francisco Middle School,6,1.2,,,,"Tile, Wood",Steam,,"Dishwasher, Range Hood",,None,524976,7096,10/2/2019,585000,12/18/2015,485000,San Francisco,94109,CA,,,,,,,,,,,
136,1184 Quail Ridge Ct,1736000,"Large Park Like Backyard Home Nestled in Quiet Cul-De-Sac! Highly Sought After Glen Crest Neighborhood in Almaden Valley! Walking Distance to Williams Elementary School, A National Blue Ribbon School of Excellence; Top Rated Bret Harte Middle & Leland High School; Desirable Floor Plan with One Large Bedroom & One Full Bathroom Downstairs; High Vaulted Ceiling & Large Windows in Living Room; New Laminated Wood Floor, New Carpet & New Interior Paint; Kitchen Features New Quartz Counter Top, New Stainless Steel Stove, Exhaust Fan, Dishwasher & Wash Sink; Garden Window, Bay Window & Coffer Ceilings; New Lighting Fixture & Recessed Lighting; Dual Zone A/C & Furnace Heater; Backyard Features New Sod, Several Fruit Trees, a Large Deck with Pergola & Awing for Relaxing Afternoon; Three Cars Garage; Must See to Appreciate; Open House Sat & Sun 12/7 & 12/8 from 1pm to 4pm;",SingleFamily,1985,Zoned,Zoned,"Garage Door Opener, Attached",12196.8,4,3,,2585,3,3,San Jose,Williams Elementary School,9,0.1,Bret Harte Middle School,7,0.5,Leland High School,8,0.7,"Carpet, Laminate, Tile, Wood",Zoned,Zoned,"Dishwasher, Gas Range",Laundry Room,"Garage Door Opener, Attached",1632000,20230,12/6/2019,1650000,,,San Jose,95120,CA,,,,,,,,,,,
137,786 Bond Way,2110000,"Stunning ranch-style home nestled in highly sought-out Cuesta Park neighborhood close to parks, schools, shopping and transit*Exceptional curb appeal with matured professional landscaping with automatic sprinklers, ideal patterned paver driveway, and raised front porch deck for private relaxation*This updated/remodeled home features: bamboo wood floors, dual pane windows, plantation shutters, quaint fireplace, six panel doors, polished nickel-lever hardware, recessed lighting and gorgeous bathrooms*Family/bonus room off the kitchen*The third bedroom makes for a fabulous office, guest bedroom, or playroom*Kitchen has granite countertops and modern touches with cozy dining area opening into the living room creating a lovely flow*The backyard is excellent for family gatherings/entertaining: matured landscaping, pergola/trellis, bbq area, stylish shed, and the continued patterned pavers from the driveway along the side of the house, creating a natural and stylish transition between yards.",SingleFamily,1952,Central Forced Air,Central AC,"Garage, Garage - Attached, Covered",5597,3,2,2,1313,1,1,Mountain View,Benjamin Bubb Elementary School,7,0.5,Isaac Newton Graham Middle School,6,0.6,Mountain View High School,8,1.5,Hardwood,"Forced air, Gas",Central,"Dishwasher, Dryer, Garbage disposal, Refrigerator, Washer","In Garage, Washer / Dryer, Gas Hookup","Garage, Garage - Attached, Covered",153254,1871,11/6/2019,1988800,,,Mountain View,94040,CA,,,,,,,,,,,
138,12561 Walsh Ave,2170000,"Stunning 2019 new construction in the heart of Del Rey, designed and built by Arzuman Brothers. This 4 bedroom and 5 bathroom uniquely designed California contemporary home features the perfect blend of inside/outside flow and open space design. As you walk through you are greeted by towering windows throughout the home that provide excellent natural light. The gourmet kitchen includes a spacious large island, custom made cabinetry, state of the art appliances, and an attached breakfast table. A few of the many features of the tree lined backyard include ceramic tiles, outdoor fire pit, BBQ, and a hanging succulent plant wall. Once you retreat to the master suite, you are invited once again with open space and a perfect harmony of bedroom, bathroom, and walk-in closet. Full smart home that controls music, lights, air conditioning, cameras, security system, and much more. Close proximity to the beach, local eateries, bike paths, Venice, Marina Del Rey, and all that Silicon Beach has to offer!",SingleFamily,2019,Central,Central Air,"Garage, Other",5288,4,5,4,2542,2,2,Los Angeles,Short Avenue Elementary School,6,0.4,Marina Del Rey Middle School,2,0.3,Venice Senior High School,6,1.2,Wood,Central,Central Air,"Freezer, Refrigerator, Barbecue, Counter Top, Disposal, Range Hood, Oven, Microwave, Dishwasher, Range",See Remarks,"Garage, Other",1593240,19345,11/6/2019,2279000,12/17/2018,1000000,Los Angeles,90066,CA,,,,,,,,,,,
